code,trading_code,name,contract_type,exchange_code,currency_id,underlying_symbol,underlying_name,underlying_exchange,underlying_type,exercise_price,contract_unit,contract_status,list_date,list_reason,list_price,high_limit,low_limit,expire_date,last_trade_date,exercise_date,delivery_date,is_adjust,delist_date,delist_reason
10004405.XSHG,510050C2303A02650,50ETF购3月2613A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.613,10142,DELIST,2022-07-28,合约到期,0.3299,0.6166,0.0432,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004406.XSHG,510050C2303A02700,50ETF购3月2662A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.662,10142,DELIST,2022-07-28,合约到期,0.2971,0.5838,0.0104,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004407.XSHG,510050C2303A02750,50ETF购3月2711A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.711,10142,DELIST,2022-07-28,合约到期,0.2669,0.5536,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004408.XSHG,510050C2303A02800,50ETF购3月2761A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.761,10142,DELIST,2022-07-28,合约到期,0.2383,0.525,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004409.XSHG,510050C2303A02850,50ETF购3月2810A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.81,10142,DELIST,2022-07-28,合约到期,0.2116,0.4983,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004410.XSHG,510050C2303A02900,50ETF购3月2859A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.859,10142,DELIST,2022-07-28,合约到期,0.1863,0.4697,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004411.XSHG,510050C2303A02950,50ETF购3月2909A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.909,10142,DELIST,2022-07-28,合约到期,0.1651,0.4435,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004412.XSHG,510050C2303A03000,50ETF购3月2958A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.958,10142,DELIST,2022-07-28,合约到期,0.1452,0.4186,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004413.XSHG,510050C2303A03100,50ETF购3月3057A,CO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,3.057,10142,DELIST,2022-07-28,合约到期,0.112,0.3754,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
10004414.XSHG,510050P2303A02650,50ETF沽3月2613A,PO,XSHG,CNY,510050.XSHG,50ETF,XSHG,ETF,2.613,10142,DELIST,2022-07-28,合约到期,0.0815,0.3248,0.0001,2023-03-22,2023-03-22,2023-03-22,2023-03-23,1,2023-03-23,合约到期
